,amount,transaction_hour,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,merchant_category_Clothing,merchant_category_Electronics,merchant_category_Food,merchant_category_Grocery,merchant_category_Travel,is_fraud
42,6.3,11,0,0,86,3,22,1.0,0.0,0.0,0.0,0.0,0
43,432.08,21,0,1,86,0,61,1.0,0.0,0.0,0.0,0.0,0
44,53.9,16,0,0,94,2,34,0.0,0.0,0.0,1.0,0.0,0
45,195.53,1,0,0,39,3,46,0.0,0.0,0.0,1.0,0.0,0
46,67.24,12,0,0,31,3,38,0.0,1.0,0.0,0.0,0.0,0
47,132.14,0,0,0,30,2,23,1.0,0.0,0.0,0.0,0.0,0
48,142.42,18,0,1,51,2,41,0.0,0.0,0.0,0.0,1.0,0
49,36.79,10,0,0,26,1,66,0.0,0.0,0.0,1.0,0.0,0
50,628.71,4,0,0,30,4,45,1.0,0.0,0.0,0.0,0.0,0
51,268.6,0,0,0,85,1,34,0.0,0.0,1.0,0.0,0.0,0
52,504.92,19,0,0,56,1,59,0.0,1.0,0.0,0.0,0.0,0
53,405.39,12,0,0,53,0,39,0.0,0.0,0.0,1.0,0.0,0
54,163.99,7,0,0,89,2,41,0.0,0.0,0.0,1.0,0.0,0
55,458.9,5,0,0,39,1,57,0.0,0.0,0.0,0.0,1.0,0
56,16.68,16,0,0,34,1,35,0.0,0.0,0.0,1.0,0.0,0
57,39.26,11,1,1,34,3,45,1.0,0.0,0.0,0.0,0.0,1
58,8.33,0,0,0,34,2,27,1.0,0.0,0.0,0.0,0.0,0
59,70.84,2,0,0,61,4,18,1.0,0.0,0.0,0.0,0.0,0
60,88.58,13,0,0,56,0,54,0.0,0.0,1.0,0.0,0.0,0
61,56.98,7,1,0,60,2,43,0.0,0.0,1.0,0.0,0.0,0
62,317.62,10,0,0,88,1,67,0.0,0.0,0.0,1.0,0.0,0
63,79.42,13,0,0,39,3,43,0.0,0.0,1.0,0.0,0.0,0
64,59.36,7,0,0,97,1,50,0.0,0.0,1.0,0.0,0.0,0
65,140.83,2,0,0,40,2,26,0.0,0.0,0.0,0.0,1.0,0
66,27.34,6,0,0,70,2,35,0.0,0.0,1.0,0.0,0.0,0
67,291.69,18,1,1,68,1,22,0.0,1.0,0.0,0.0,0.0,0
68,13.95,3,0,0,59,1,39,0.0,1.0,0.0,0.0,0.0,0
69,780.15,15,0,0,75,3,27,0.0,1.0,0.0,0.0,0.0,0
70,266.31,12,0,0,82,2,31,0.0,0.0,0.0,1.0,0.0,0
71,39.88,19,0,0,29,1,29,1.0,0.0,0.0,0.0,0.0,0
72,1.0,18,0,1,62,2,49,0.0,0.0,0.0,0.0,1.0,0
73,304.18,4,0,0,30,1,56,0.0,0.0,0.0,1.0,0.0,0
74,220.88,22,0,1,75,1,62,1.0,0.0,0.0,0.0,0.0,0
75,235.02,4,0,1,38,2,53,0.0,0.0,0.0,0.0,1.0,0
76,265.54,19,0,0,72,0,68,0.0,0.0,0.0,0.0,1.0,0
77,13.85,23,0,0,36,4,67,0.0,0.0,0.0,0.0,1.0,0
78,79.9,3,0,0,76,4,64,0.0,1.0,0.0,0.0,0.0,0
79,22.17,1,0,0,92,1,32,0.0,1.0,0.0,0.0,0.0,0
80,357.94,12,0,0,83,3,50,0.0,1.0,0.0,0.0,0.0,0
81,175.73,15,0,1,42,0,33,0.0,0.0,0.0,0.0,1.0,0
82,72.33,21,1,0,77,1,21,0.0,0.0,0.0,0.0,1.0,0
83,11.82,1,0,0,55,1,68,0.0,1.0,0.0,0.0,0.0,0
84,67.05,18,0,0,59,3,20,0.0,0.0,0.0,0.0,1.0,0
85,70.8,16,0,0,28,2,43,0.0,1.0,0.0,0.0,0.0,0
86,235.42,4,0,0,33,0,54,0.0,1.0,0.0,0.0,0.0,0
87,182.68,17,1,0,39,0,51,0.0,1.0,0.0,0.0,0.0,0
88,392.81,22,0,0,66,4,59,1.0,0.0,0.0,0.0,0.0,0
89,115.03,20,0,0,83,1,26,0.0,0.0,0.0,0.0,1.0,0
90,22.93,17,0,0,97,1,61,0.0,0.0,0.0,1.0,0.0,0
91,224.84,7,0,0,56,0,31,0.0,1.0,0.0,0.0,0.0,0
92,257.47,14,0,0,69,2,64,0.0,0.0,0.0,1.0,0.0,0
93,148.3,12,0,0,29,1,50,1.0,0.0,0.0,0.0,0.0,0
94,265.3,12,0,1,55,4,65,0.0,0.0,0.0,0.0,1.0,0
95,122.55,15,0,0,49,1,55,0.0,1.0,0.0,0.0,0.0,0
96,133.14,21,0,0,80,2,22,0.0,1.0,0.0,0.0,0.0,0
97,100.41,19,0,0,25,2,68,0.0,1.0,0.0,0.0,0.0,0
98,4.63,12,0,0,85,0,64,0.0,0.0,0.0,1.0,0.0,0
99,20.55,19,0,0,91,3,45,1.0,0.0,0.0,0.0,0.0,0
100,5.75,1,0,0,91,1,50,0.0,0.0,0.0,0.0,1.0,0
101,182.11,2,0,0,66,3,34,1.0,0.0,0.0,0.0,0.0,0
102,67.93,14,0,0,83,3,38,0.0,1.0,0.0,0.0,0.0,0
103,127.88,22,0,0,74,2,24,1.0,0.0,0.0,0.0,0.0,0
104,428.63,18,0,0,58,2,57,0.0,0.0,0.0,1.0,0.0,0
105,51.61,12,0,0,92,4,52,0.0,0.0,1.0,0.0,0.0,0
106,95.09,4,0,1,78,6,24,0.0,0.0,1.0,0.0,0.0,0
107,253.57,21,0,1,38,2,25,0.0,0.0,0.0,0.0,1.0,0
108,46.76,5,0,0,56,3,68,0.0,0.0,0.0,0.0,1.0,0
109,14.42,13,1,0,94,0,61,1.0,0.0,0.0,0.0,0.0,0
110,61.59,3,0,0,32,0,59,0.0,0.0,0.0,0.0,1.0,0
111,31.65,21,0,0,59,1,48,0.0,0.0,0.0,1.0,0.0,0
112,477.89,18,0,0,48,3,22,0.0,1.0,0.0,0.0,0.0,0
113,297.16,22,0,0,27,2,22,0.0,1.0,0.0,0.0,0.0,0
114,180.63,6,0,0,60,3,41,1.0,0.0,0.0,0.0,0.0,0
115,369.27,3,1,0,75,1,39,0.0,1.0,0.0,0.0,0.0,0
116,293.03,1,0,0,81,4,61,1.0,0.0,0.0,0.0,0.0,0
117,37.17,6,1,0,83,4,30,0.0,0.0,0.0,0.0,1.0,0
118,401.55,2,0,0,46,1,39,0.0,0.0,0.0,0.0,1.0,0
119,139.52,14,0,0,61,0,43,0.0,0.0,0.0,1.0,0.0,0
120,296.52,0,0,0,99,3,18,0.0,1.0,0.0,0.0,0.0,0
121,407.56,1,1,0,36,2,34,0.0,0.0,0.0,1.0,0.0,1
122,68.89,9,0,0,45,0,36,0.0,0.0,1.0,0.0,0.0,0
123,20.99,15,1,1,39,2,19,0.0,0.0,0.0,1.0,0.0,1
124,46.56,14,0,0,36,4,67,1.0,0.0,0.0,0.0,0.0,0
125,100.27,23,0,0,80,5,69,1.0,0.0,0.0,0.0,0.0,0
126,306.69,14,0,0,40,5,28,0.0,0.0,0.0,1.0,0.0,0
127,354.84,13,0,0,57,4,47,0.0,0.0,0.0,0.0,1.0,0
128,1.26,21,0,1,67,2,63,0.0,0.0,1.0,0.0,0.0,0
129,128.68,13,0,1,73,4,40,0.0,0.0,0.0,1.0,0.0,0
130,97.25,5,1,0,42,1,32,0.0,0.0,0.0,0.0,1.0,0
131,45.21,13,0,0,40,2,40,0.0,0.0,0.0,1.0,0.0,0
132,22.98,16,1,1,64,3,29,0.0,1.0,0.0,0.0,0.0,0
133,74.14,17,0,0,91,1,44,1.0,0.0,0.0,0.0,0.0,0
134,515.36,19,0,1,86,1,23,0.0,1.0,0.0,0.0,0.0,0
135,70.27,18,0,0,51,2,47,0.0,1.0,0.0,0.0,0.0,0
136,131.66,16,0,0,38,3,22,0.0,0.0,1.0,0.0,0.0,0
137,218.54,15,0,0,90,0,63,0.0,0.0,0.0,0.0,1.0,0
138,81.36,7,1,0,51,4,55,1.0,0.0,0.0,0.0,0.0,0
139,642.2,6,0,0,78,1,52,0.0,1.0,0.0,0.0,0.0,0
140,590.76,19,1,0,84,3,23,1.0,0.0,0.0,0.0,0.0,0
141,52.21,11,0,0,64,2,31,0.0,0.0,0.0,0.0,1.0,0
142,123.78,8,0,0,69,1,69,0.0,0.0,0.0,1.0,0.0,0
143,64.43,13,0,0,92,1,67,0.0,1.0,0.0,0.0,0.0,0
144,60.34,19,0,0,92,2,34,0.0,0.0,0.0,0.0,1.0,0
145,6.77,0,0,0,87,2,26,1.0,0.0,0.0,0.0,0.0,0
146,169.29,9,0,0,64,3,57,0.0,0.0,0.0,0.0,1.0,0
147,125.73,16,0,0,65,1,48,0.0,0.0,0.0,1.0,0.0,0
148,9.51,16,0,0,85,5,53,0.0,0.0,0.0,0.0,1.0,0
149,58.79,16,0,0,89,1,27,1.0,0.0,0.0,0.0,0.0,0
150,429.99,3,0,0,25,2,44,0.0,1.0,0.0,0.0,0.0,0
151,49.29,16,0,0,33,7,66,0.0,1.0,0.0,0.0,0.0,0
152,28.18,17,0,0,99,4,69,0.0,0.0,1.0,0.0,0.0,0
153,121.01,19,1,0,39,3,22,1.0,0.0,0.0,0.0,0.0,0
154,763.93,22,0,0,83,1,34,0.0,0.0,1.0,0.0,0.0,0
155,49.89,1,0,0,90,0,48,0.0,0.0,1.0,0.0,0.0,0
156,200.73,7,0,0,34,1,31,0.0,0.0,0.0,1.0,0.0,0
157,258.1,12,0,0,73,2,40,1.0,0.0,0.0,0.0,0.0,0
158,48.84,22,0,0,35,1,61,0.0,1.0,0.0,0.0,0.0,0
159,234.49,21,0,0,54,2,46,1.0,0.0,0.0,0.0,0.0,0
160,82.53,19,1,0,47,3,56,0.0,0.0,0.0,1.0,0.0,0
161,180.09,21,1,0,46,1,32,1.0,0.0,0.0,0.0,0.0,0
162,180.69,14,0,1,75,2,64,1.0,0.0,0.0,0.0,0.0,0
163,138.13,19,0,0,66,3,29,0.0,0.0,1.0,0.0,0.0,0
164,17.03,22,0,0,53,0,50,1.0,0.0,0.0,0.0,0.0,0
165,324.66,8,0,0,69,1,57,0.0,0.0,1.0,0.0,0.0,0
166,69.63,2,0,0,57,0,47,0.0,0.0,1.0,0.0,0.0,0
167,37.16,2,0,0,63,6,39,0.0,0.0,0.0,0.0,1.0,0
168,7.49,1,0,0,97,1,47,0.0,0.0,0.0,1.0,0.0,0
169,160.88,0,0,0,89,2,49,0.0,0.0,1.0,0.0,0.0,0
170,203.73,13,0,0,74,3,37,1.0,0.0,0.0,0.0,0.0,0
171,3.01,16,0,0,72,0,55,0.0,0.0,1.0,0.0,0.0,0
172,129.17,12,0,0,61,3,37,0.0,0.0,1.0,0.0,0.0,0
173,46.23,18,1,1,57,2,19,0.0,0.0,1.0,0.0,0.0,0
174,186.5,22,0,0,30,2,48,0.0,1.0,0.0,0.0,0.0,0
175,34.49,14,0,0,94,2,67,0.0,1.0,0.0,0.0,0.0,0
176,211.36,13,0,0,79,1,45,0.0,1.0,0.0,0.0,0.0,0
177,88.01,1,0,1,68,0,20,0.0,1.0,0.0,0.0,0.0,0
178,496.86,6,0,1,74,4,37,0.0,0.0,0.0,0.0,1.0,0
179,26.63,16,0,0,78,2,52,0.0,0.0,1.0,0.0,0.0,0
180,75.08,17,0,0,87,4,36,0.0,0.0,0.0,0.0,1.0,0
181,21.68,5,0,0,40,3,23,1.0,0.0,0.0,0.0,0.0,0
182,465.51,20,0,0,71,5,28,0.0,0.0,0.0,1.0,0.0,0
183,377.7,7,1,0,81,2,62,0.0,0.0,0.0,0.0,1.0,0
184,53.7,1,0,0,26,3,23,0.0,1.0,0.0,0.0,0.0,0
185,194.18,0,0,0,61,3,35,0.0,1.0,0.0,0.0,0.0,0
186,305.91,15,0,0,47,4,64,1.0,0.0,0.0,0.0,0.0,0
187,145.82,6,0,0,37,1,31,0.0,0.0,1.0,0.0,0.0,0
188,135.77,21,1,0,89,4,31,0.0,0.0,0.0,1.0,0.0,0
189,49.84,23,0,0,72,2,18,0.0,0.0,0.0,0.0,1.0,0
190,17.59,10,0,0,31,1,34,0.0,0.0,1.0,0.0,0.0,0
191,409.52,14,0,0,55,2,31,0.0,0.0,1.0,0.0,0.0,0
192,415.22,12,1,0,87,2,48,0.0,0.0,0.0,0.0,1.0,0
193,180.48,23,0,0,69,4,62,0.0,0.0,0.0,0.0,1.0,0
194,74.53,1,0,0,80,3,27,0.0,0.0,0.0,0.0,1.0,0
195,77.32,13,0,0,88,3,55,0.0,0.0,0.0,0.0,1.0,0
196,233.0,23,0,0,46,0,50,0.0,1.0,0.0,0.0,0.0,0
197,409.34,5,0,0,87,2,22,0.0,0.0,1.0,0.0,0.0,0
198,392.6,8,0,0,52,1,33,0.0,0.0,1.0,0.0,0.0,0
199,272.44,6,0,0,68,0,37,0.0,1.0,0.0,0.0,0.0,0
200,184.92,17,0,0,38,2,65,0.0,0.0,1.0,0.0,0.0,0
201,15.82,23,0,0,43,2,39,0.0,0.0,0.0,0.0,1.0,0
202,31.73,8,0,0,84,1,57,0.0,0.0,0.0,1.0,0.0,0
203,411.88,22,0,0,26,3,34,0.0,0.0,1.0,0.0,0.0,0
204,167.85,3,1,0,75,1,67,0.0,0.0,0.0,1.0,0.0,0
205,1.66,8,0,0,58,2,67,0.0,0.0,0.0,1.0,0.0,0
206,19.26,3,0,0,75,2,26,0.0,1.0,0.0,0.0,0.0,0
207,196.05,11,0,0,43,0,55,1.0,0.0,0.0,0.0,0.0,0
208,0.91,3,0,0,60,2,59,0.0,0.0,1.0,0.0,0.0,0
209,31.56,23,0,0,50,2,26,0.0,1.0,0.0,0.0,0.0,0
210,143.23,19,0,0,59,4,32,0.0,1.0,0.0,0.0,0.0,0
211,211.92,13,0,0,87,1,69,0.0,0.0,0.0,1.0,0.0,0
212,189.98,23,0,0,28,2,63,0.0,0.0,1.0,0.0,0.0,0
213,45.71,23,0,0,27,1,31,0.0,1.0,0.0,0.0,0.0,0
214,224.18,6,0,0,29,0,26,0.0,0.0,0.0,0.0,1.0,0
215,48.75,12,0,0,53,1,26,0.0,1.0,0.0,0.0,0.0,0
216,70.85,21,0,0,43,2,50,0.0,0.0,0.0,0.0,1.0,0
217,247.02,7,0,0,41,0,48,1.0,0.0,0.0,0.0,0.0,0
218,188.78,22,0,0,58,2,27,0.0,0.0,0.0,0.0,1.0,0
219,340.55,4,0,0,44,0,27,0.0,0.0,0.0,0.0,1.0,0
220,192.93,11,0,0,52,3,56,0.0,0.0,0.0,1.0,0.0,0
221,151.21,12,0,0,97,2,22,0.0,1.0,0.0,0.0,0.0,0
222,17.7,19,0,0,91,3,35,1.0,0.0,0.0,0.0,0.0,0
223,82.51,13,0,0,34,3,50,0.0,1.0,0.0,0.0,0.0,0
224,55.47,17,0,0,45,1,66,0.0,0.0,0.0,0.0,1.0,0
225,50.35,23,0,0,28,3,35,0.0,0.0,0.0,0.0,1.0,0
226,650.22,19,0,1,46,1,69,0.0,1.0,0.0,0.0,0.0,0
227,89.89,3,0,0,95,2,29,1.0,0.0,0.0,0.0,0.0,0
228,400.69,20,0,0,86,0,42,1.0,0.0,0.0,0.0,0.0,0
229,179.52,17,0,0,36,4,44,0.0,0.0,0.0,1.0,0.0,0
230,285.09,6,0,0,35,3,58,0.0,0.0,0.0,0.0,1.0,0
231,125.72,14,0,0,46,4,26,0.0,0.0,0.0,0.0,1.0,0
232,154.83,20,0,0,53,2,66,0.0,0.0,0.0,1.0,0.0,0
233,122.09,5,0,0,85,0,30,0.0,1.0,0.0,0.0,0.0,0
234,39.1,15,1,0,85,5,66,0.0,0.0,0.0,0.0,1.0,0
235,230.72,19,0,1,51,1,39,0.0,1.0,0.0,0.0,0.0,0
236,59.32,23,0,0,71,3,19,1.0,0.0,0.0,0.0,0.0,0
237,4.43,7,0,0,38,1,56,0.0,0.0,1.0,0.0,0.0,0
238,186.65,20,0,0,31,2,65,0.0,0.0,0.0,1.0,0.0,0
239,35.09,15,0,0,39,2,32,0.0,0.0,0.0,0.0,1.0,0
240,507.79,21,0,0,70,4,40,0.0,0.0,0.0,1.0,0.0,0
241,553.96,15,0,0,52,2,30,1.0,0.0,0.0,0.0,0.0,0
242,443.43,2,0,0,67,3,62,1.0,0.0,0.0,0.0,0.0,0
243,83.21,16,0,0,34,1,64,1.0,0.0,0.0,0.0,0.0,0
244,2.8,8,0,0,75,1,37,1.0,0.0,0.0,0.0,0.0,0
245,474.39,2,0,0,27,3,30,0.0,0.0,1.0,0.0,0.0,0
246,100.61,19,0,0,68,3,44,0.0,1.0,0.0,0.0,0.0,0
247,612.15,6,0,0,78,3,59,0.0,1.0,0.0,0.0,0.0,0
248,596.47,17,0,0,58,3,34,0.0,0.0,1.0,0.0,0.0,0
249,345.13,11,0,0,89,3,48,0.0,1.0,0.0,0.0,0.0,0
250,62.78,18,0,0,49,0,43,1.0,0.0,0.0,0.0,0.0,0
251,87.53,15,0,0,87,0,39,0.0,1.0,0.0,0.0,0.0,0
252,342.85,21,0,0,94,1,58,0.0,0.0,0.0,1.0,0.0,0
253,68.61,23,0,0,69,1,49,0.0,1.0,0.0,0.0,0.0,0
254,33.43,16,0,0,92,0,39,0.0,0.0,0.0,1.0,0.0,0
255,146.47,19,0,0,50,0,45,0.0,0.0,0.0,0.0,1.0,0
256,495.23,14,0,0,50,0,59,0.0,0.0,0.0,1.0,0.0,0
257,214.35,0,0,0,50,1,64,0.0,0.0,0.0,1.0,0.0,0
258,151.94,1,0,0,86,2,18,1.0,0.0,0.0,0.0,0.0,0
259,18.4,7,0,0,85,0,21,1.0,0.0,0.0,0.0,0.0,0
260,171.82,21,0,0,26,1,33,1.0,0.0,0.0,0.0,0.0,0
261,829.9,1,1,0,65,2,60,0.0,0.0,0.0,1.0,0.0,0
262,27.17,18,0,0,69,0,40,0.0,0.0,1.0,0.0,0.0,0
263,131.49,8,0,0,38,4,55,1.0,0.0,0.0,0.0,0.0,0
264,377.75,8,0,0,61,2,58,1.0,0.0,0.0,0.0,0.0,0
265,243.01,12,0,0,26,3,65,0.0,0.0,0.0,1.0,0.0,0
266,214.93,5,0,0,29,0,53,0.0,0.0,0.0,0.0,1.0,0
267,218.21,14,0,1,26,0,31,0.0,0.0,0.0,0.0,1.0,0
268,80.19,18,0,0,25,0,60,0.0,1.0,0.0,0.0,0.0,0
269,62.56,20,0,0,72,1,60,0.0,0.0,0.0,0.0,1.0,0
270,298.33,14,0,0,46,0,20,1.0,0.0,0.0,0.0,0.0,0
271,299.04,17,0,0,65,1,18,0.0,0.0,1.0,0.0,0.0,0
272,363.23,6,0,0,49,1,61,0.0,1.0,0.0,0.0,0.0,0
273,440.03,10,0,0,70,2,33,0.0,0.0,1.0,0.0,0.0,0
274,128.9,7,0,0,33,5,25,0.0,0.0,1.0,0.0,0.0,0
275,125.31,5,0,0,85,3,18,1.0,0.0,0.0,0.0,0.0,0
276,288.17,7,0,0,71,0,38,0.0,0.0,0.0,1.0,0.0,0
277,188.95,1,0,0,98,3,19,0.0,0.0,0.0,1.0,0.0,0
278,217.9,18,0,0,27,1,29,0.0,0.0,0.0,1.0,0.0,0
279,285.95,15,0,0,32,0,31,0.0,0.0,0.0,0.0,1.0,0
280,397.32,6,0,0,49,2,39,0.0,0.0,0.0,1.0,0.0,0
281,74.25,9,0,0,60,0,37,1.0,0.0,0.0,0.0,0.0,0
282,84.77,11,0,0,67,3,34,0.0,0.0,0.0,0.0,1.0,0
283,17.77,16,0,0,74,1,24,0.0,0.0,0.0,1.0,0.0,0
284,155.41,6,0,0,87,3,38,0.0,0.0,1.0,0.0,0.0,0
285,6.59,21,0,0,58,2,51,1.0,0.0,0.0,0.0,0.0,0
286,112.79,7,0,0,97,1,39,1.0,0.0,0.0,0.0,0.0,0
287,140.81,6,0,0,34,2,39,0.0,1.0,0.0,0.0,0.0,0
288,60.77,3,1,0,51,5,38,1.0,0.0,0.0,0.0,0.0,1
289,160.85,2,0,0,37,2,30,0.0,0.0,1.0,0.0,0.0,0
290,5.58,18,0,0,75,3,62,1.0,0.0,0.0,0.0,0.0,0
291,6.85,14,0,0,92,0,23,0.0,1.0,0.0,0.0,0.0,0
292,311.28,3,0,0,40,0,42,1.0,0.0,0.0,0.0,0.0,0
293,80.39,8,1,0,36,1,61,1.0,0.0,0.0,0.0,0.0,0
294,24.46,12,0,0,49,1,48,0.0,1.0,0.0,0.0,0.0,0
295,132.96,17,0,1,73,4,42,1.0,0.0,0.0,0.0,0.0,0
296,264.54,20,0,0,40,1,49,0.0,0.0,0.0,0.0,1.0,0
297,43.76,15,0,0,26,4,46,1.0,0.0,0.0,0.0,0.0,0
298,175.54,0,0,0,97,1,65,0.0,0.0,0.0,1.0,0.0,0
299,16.06,3,0,0,59,2,52,0.0,0.0,0.0,1.0,0.0,0
300,9.55,17,0,0,46,3,29,0.0,0.0,0.0,0.0,1.0,0
301,136.42,7,0,1,72,1,33,1.0,0.0,0.0,0.0,0.0,0
302,140.02,19,0,1,88,4,26,0.0,0.0,1.0,0.0,0.0,0
303,182.62,15,1,0,91,0,30,1.0,0.0,0.0,0.0,0.0,0
304,233.09,20,0,0,46,1,29,0.0,0.0,0.0,1.0,0.0,0
305,670.24,10,0,1,97,3,43,0.0,1.0,0.0,0.0,0.0,0
306,130.73,19,0,0,71,1,32,0.0,0.0,0.0,0.0,1.0,0
307,70.2,20,0,0,64,3,21,0.0,1.0,0.0,0.0,0.0,0
308,285.42,20,0,0,77,4,66,0.0,0.0,1.0,0.0,0.0,0
309,56.85,20,0,0,27,4,27,1.0,0.0,0.0,0.0,0.0,0
310,104.04,18,0,0,30,3,65,0.0,0.0,1.0,0.0,0.0,0
311,14.71,22,0,0,38,0,61,0.0,1.0,0.0,0.0,0.0,0
312,4.62,18,0,0,82,4,55,1.0,0.0,0.0,0.0,0.0,0
313,591.73,17,0,0,31,1,65,0.0,0.0,1.0,0.0,0.0,0
314,325.4,18,0,0,53,0,29,0.0,0.0,0.0,1.0,0.0,0
315,214.32,10,0,0,27,0,39,0.0,0.0,0.0,1.0,0.0,0
316,94.65,2,0,0,37,0,55,0.0,0.0,0.0,0.0,1.0,0
317,34.26,7,0,0,60,3,47,0.0,0.0,0.0,1.0,0.0,0
318,30.62,19,0,0,62,1,32,0.0,0.0,0.0,1.0,0.0,0
319,51.84,18,0,0,99,1,53,0.0,1.0,0.0,0.0,0.0,0
320,143.42,9,0,1,84,1,22,0.0,0.0,0.0,1.0,0.0,0
321,225.69,15,0,0,97,2,66,0.0,0.0,0.0,1.0,0.0,0
322,194.29,4,0,0,46,1,21,0.0,1.0,0.0,0.0,0.0,0
323,59.11,19,0,0,45,1,43,0.0,0.0,0.0,1.0,0.0,0
324,557.66,8,0,0,57,0,60,0.0,0.0,0.0,1.0,0.0,0
325,241.02,7,0,0,28,2,36,0.0,0.0,0.0,0.0,1.0,0
326,145.48,10,0,0,68,2,31,0.0,0.0,0.0,1.0,0.0,0
327,170.29,15,0,0,25,1,44,0.0,0.0,0.0,1.0,0.0,0
328,97.93,6,0,0,86,1,55,0.0,0.0,0.0,0.0,1.0,0
329,51.24,14,0,0,46,2,43,0.0,1.0,0.0,0.0,0.0,0
330,79.2,23,0,0,83,2,59,0.0,0.0,0.0,1.0,0.0,0
331,255.27,20,0,0,61,3,40,0.0,0.0,1.0,0.0,0.0,0
332,2.61,19,1,0,47,5,59,0.0,1.0,0.0,0.0,0.0,0
333,22.21,22,0,0,57,1,67,0.0,1.0,0.0,0.0,0.0,0
334,8.48,16,0,0,46,4,66,0.0,0.0,0.0,1.0,0.0,0
335,7.48,5,0,0,88,5,19,0.0,0.0,0.0,0.0,1.0,0
336,348.16,14,0,0,86,2,30,0.0,1.0,0.0,0.0,0.0,0
337,218.92,7,0,0,78,2,29,0.0,0.0,0.0,0.0,1.0,0
338,115.7,6,0,0,82,3,54,0.0,0.0,1.0,0.0,0.0,0
339,18.53,1,0,0,36,3,57,0.0,0.0,0.0,0.0,1.0,0
340,121.77,12,0,0,42,4,53,1.0,0.0,0.0,0.0,0.0,0
341,115.46,22,0,0,91,3,20,0.0,0.0,0.0,0.0,1.0,0
342,34.24,5,0,0,84,1,21,0.0,1.0,0.0,0.0,0.0,0
343,102.4,4,0,0,25,5,48,0.0,0.0,0.0,0.0,1.0,0
